Date,Time,State
2024-05-18,21:49:04,1
2024-05-18,22:14:18,0
2024-05-18,22:14:27,1
2024-05-18,22:14:33,0
2024-05-18,22:14:37,1
2024-05-18,22:39:50,0
2024-05-18,22:43:22,1
2024-05-18,23:17:48,1
2024-05-18,23:20:37,0
2024-05-18,23:20:48,1
2024-05-18,23:20:54,0
2024-05-18,23:21:07,1
2024-05-18,23:23:08,1
2024-05-19,10:53:36,0
2024-05-19,10:53:58,1
2024-05-19,10:54:02,0
2024-05-19,10:54:06,1
2024-05-19,10:55:01,0
2024-05-19,10:55:05,1
2024-05-19,10:55:11,1
2024-05-19,10:55:15,1
